Dm_FBgn,CG,name,len
FBgn0029661,CG16781,CG16781,386
FBgn0029659,CG16782,CG16782,200
FBgn0034974,CG16786,CG16786,779
FBgn0034940,CG16787,CG16787,253
FBgn0037712,CG16789,CG16789,831
FBgn0037713,CG16790,CG16790,258
FBgn0038881,CG16791,CG16791,1108
FBgn0032856,CG16798,CG16798,561
FBgn0034538,CG16799,CG16799,179
FBgn0032462,CG16800,CG16800,282
FBgn0032488,CG16812,CG16812,455
FBgn0032490,CG16813,CG16813,184
FBgn0032491,CG16815,CG16815,192
FBgn0032495,CG16820,CG16820,309
FBgn0040973,CG16824,CG16824,64
FBgn0032503,CG16825,CG16825,281
FBgn0032505,CG16826,CG16826,341
FBgn0040735,CG16836,CG16836,76
FBgn0035009,CG16837,CG16837,130
FBgn0032522,CG16848,CG16848,254
FBgn0028942,CG16852,CG16852,237
FBgn0028941,CG16853,CG16853,301
FBgn0032338,CG16854,CG16854,705
FBgn0028931,CG16863,CG16863,661
FBgn0028919,CG16865,CG16865,247
FBgn0034498,CG16868,CG16868,1449
FBgn0027589,CG1688,CG1688,918
FBgn0028544,CG16884,CG16884,277
FBgn0032538,CG16885,CG16885,270
FBgn0028938,CG16886,CG16886,373
FBgn0032533,CG16888,CG16888,169
FBgn0028932,CG16890,CG16890,258
FBgn0034483,CG16894,CG16894,266
FBgn0035073,CG16896,CG16896,988
FBgn0034480,CG16898,CG16898,407
FBgn0033442,CG1690,CG1690,132
FBgn0040394,CG16903,CG16903,560
FBgn0037763,CG16904,CG16904,262
FBgn0037741,CG16908,CG16908,1080
FBgn0040732,CG16926,CG16926,127
FBgn0033883,CG16935,CG16935,357
FBgn0031116,CG1695,CG1695,1192
FBgn0030701,CG16952,CG16952,1043
FBgn0038809,CG16953,CG16953,573
FBgn0032523,CG16956,CG16956,199
FBgn0032519,CG16957,CG16957,192
FBgn0036481,CG16959,CG16959,503
FBgn0032385,CG16964,CG16964,118
FBgn0032387,CG16965,CG16965,739
FBgn0032481,CG16972,CG16972,1710
FBgn0032479,CG16974,CG16974,1257
FBgn0040972,CG16978,CG16978,96
FBgn0036512,CG16979,CG16979,607
FBgn0033443,CG1698,CG1698,654
FBgn0062517,CG16984,CG16984,307
FBgn0035355,CG16985,CG16985,149
FBgn0035356,CG16986,CG16986,143
FBgn0025621,CG16989,CG16989,940
FBgn0031412,CG16995,CG16995,146
FBgn0035795,CG16998,CG16998,258
FBgn0033122,CG17002,CG17002,421
FBgn0031082,CG17003,CG17003,287
FBgn0032109,CG17005,CG17005,608
FBgn0033167,CG1701,CG1701,134
FBgn0032424,CG17010,CG17010,429
FBgn0033783,CG17019,CG17019,700
FBgn0036550,CG17026,CG17026,284
FBgn0036553,CG17027,CG17027,288
FBgn0036552,CG17028,CG17028,284
FBgn0036551,CG17029,CG17029,284
FBgn0030321,CG1703,CG1703,901
FBgn0035584,CG17030,CG17030,180
FBgn0036547,CG17032,CG17032,312
FBgn0032449,CG17036,CG17036,432
FBgn0033827,CG17047,CG17047,392
FBgn0033828,CG17048,CG17048,124
FBgn0040754,CG17059,CG17059,71
FBgn0031099,CG17065,CG17065,431
FBgn0031098,CG17068,CG17068,694
FBgn0031239,CG17075,CG17075,968
FBgn0086855,CG17078,CG17078,610
FBgn0039070,CG17083,CG17083,550
FBgn0265264,CG17097,CG17097,1087
FBgn0032276,CG17098,CG17098,652
FBgn0040496,CG17104,CG17104,449
FBgn0032280,CG17105,CG17105,103
FBgn0032281,CG17107,CG17107,96
FBgn0032285,CG17108,CG17108,342
FBgn0039051,CG17109,CG17109,400
FBgn0039050,CG17110,CG17110,402
FBgn0039048,CG17111,CG17111,792
FBgn0032291,CG17118,CG17118,281
FBgn0039045,CG17119,CG17119,397
FBgn0039043,CG17121,CG17121,361
FBgn0036962,CG17122,CG17122,598
FBgn0032297,CG17124,CG17124,124
FBgn0032299,CG17127,CG17127,98
FBgn0035151,CG17129,CG17129,581
FBgn0032304,CG17134,CG17134,391
FBgn0260454,CG31722,CG17139,340
FBgn0260453,CG31722,CG17140,361
FBgn0039020,CG17141,CG17141,323
FBgn0036953,CG17145,CG17145,334
FBgn0260393,CG17147,CG17147,337
FBgn0036246,CG17154,CG17154,122
FBgn0039945,CG17159,CG17159,436
FBgn0039944,CG17162,CG17162,274
FBgn0039942,CG17163,CG17163,124
FBgn0039941,CG17167,CG17167,522
FBgn0039943,CG17168,CG17168,421
FBgn0040514,CG17169,CG17169,114
FBgn0036447,CG17173,CG17173,508
FBgn0036440,CG17177,CG17177,1333
FBgn0035140,CG17180,CG17180,302
FBgn0038741,CG17186,CG17186,381
FBgn0037882,CG17187,CG17187,299
FBgn0039485,CG17189,CG17189,271
FBgn0038761,CG17190,CG17190,257
FBgn0039473,CG17191,CG17191,337
FBgn0039472,CG17192,CG17192,337
FBgn0040571,CG17193,CG17193,68
FBgn0039369,CG17195,CG17195,283
FBgn0039368,CG17196,CG17196,276
FBgn0039367,CG17197,CG17197,290
FBgn0039366,CG17198,CG17198,299
FBgn0038775,CG17199,CG17199,461
FBgn0038043,CG17202,CG17202,181
FBgn0038051,CG17207,CG17207,220
FBgn0032414,CG17211,CG17211,1354
FBgn0032419,CG17217,CG17217,160
FBgn0031494,CG17219,CG17219,307
FBgn0031168,CG1722,CG1722,280
FBgn0031500,CG17221,CG17221,413
FBgn0031489,CG17224,CG17224,300
FBgn0046225,CG17230,CG17230,501
FBgn0036958,CG17233,CG17233,1465
FBgn0042187,CG17234,CG17234,251
FBgn0031410,CG17237,CG17237,192
FBgn0042186,CG17239,CG17239,248
FBgn0031164,CG1724,CG1724,185
FBgn0250841,CG17242,CG17242,245
FBgn0035249,CG17249,CG17249,472
FBgn0031496,CG17258,CG17258,876
FBgn0031498,CG17260,CG17260,364
FBgn0031501,CG17261,CG17261,138
FBgn0031490,CG17264,CG17264,704
FBgn0031488,CG17265,CG17265,607
FBgn0033089,CG17266,CG17266,183
FBgn0038821,CG17267,CG17267,363
FBgn0038828,CG17270,CG17270,169
FBgn0038829,CG17271,CG17271,281
FBgn0038830,CG17272,CG17272,149
FBgn0046763,CG17278,CG17278,80
FBgn0038850,CG17279,CG17279,245
FBgn0038505,CG17283,CG17283,465
FBgn0034202,CG17287,CG17287,338
FBgn0034201,CG17290,CG17290,99
FBgn0032029,CG17292,CG17292,340
FBgn0032032,CG17294,CG17294,255
FBgn0038879,CG17298,CG17298,95
FBgn0036345,CG17300,CG17300,152
FBgn0032719,CG17321,CG17321,373
FBgn0040993,CG17325,CG17325,77
FBgn0038107,CG17327,CG17327,139
FBgn0028895,CG17328,CG17328,413
FBgn0028896,CG17329,CG17329,162
FBgn0030239,CG17333,CG17333,243
FBgn0259979,CG17337,CG17337,478
FBgn0032751,CG17343,CG17343,84
FBgn0032755,CG17344,CG17344,154
FBgn0032771,CG17349,CG17349,266
FBgn0032772,CG17350,CG17350,317
FBgn0036396,CG17359,CG17359,339
FBgn0037949,CG17360,CG17360,1354
FBgn0036395,CG17361,CG17361,210
FBgn0036393,CG17362,CG17362,153
FBgn0036391,CG17364,CG17364,653
FBgn0030293,CG1737,CG1737,943
FBgn0031861,CG17375,CG17375,268
FBgn0042189,CG17376,CG17376,91
FBgn0031859,CG17377,CG17377,207
FBgn0031858,CG17378,CG17378,610
FBgn0030291,CG1738,CG1738,182
FBgn0039077,CG17380,CG17380,119
FBgn0033934,CG17385,CG17385,278
FBgn0037276,CG17387,CG17387,967
FBgn0038001,CG17404,CG17404,275
FBgn0030120,CG17440,CG17440,366
FBgn0040028,CG17450,CG17450,601
FBgn0039977,CG17454,CG17454,243
FBgn0032869,CG17470,CG17470,215
FBgn0032868,CG17472,CG17472,159
FBgn0038481,CG17475,CG17475,288
FBgn0038479,CG17477,CG17477,267
FBgn0032997,CG17486,CG17486,564
FBgn0040009,CG17490,CG17490,707
FBgn0040010,CG17493,CG17493,182
FBgn0039836,CG1750,CG1750,342
FBgn0039970,CG17508,CG17508,321
FBgn0039959,CG17514,CG17514,2630
FBgn0261387,CG17528,CG17528,748
FBgn0032775,CG17544,CG17544,693
FBgn0032774,CG17549,CG17549,287
FBgn0038462,CG17556,CG17556,282
FBgn0038450,CG17560,CG17560,499
FBgn0038449,CG17562,CG17562,499
FBgn0032768,CG17564,CG17564,335
FBgn0038424,CG17565,CG17565,419
FBgn0032763,CG17568,CG17568,513
FBgn0260000,CG17570,CG17570,134
FBgn0259998,CG17571,CG17571,258
FBgn0032753,CG17572,CG17572,385
FBgn0033777,CG17574,CG17574,175
FBgn0250842,CG17575,CG17575,298
FBgn0040755,CG17580,CG17580,73
FBgn0031544,CG17593,CG17593,476
FBgn0032715,CG17597,CG17597,407
FBgn0031194,CG17598,CG17598,651
FBgn0031195,CG17600,CG17600,603
FBgn0031197,CG17601,CG17601,220
FBgn0031597,CG17612,CG17612,618
FBgn0039002,CG17625,CG17625,142
FBgn0032144,CG17633,CG17633,430
FBgn0025837,CG17636,CG17636,585
FBgn0037004,CG17637,CG17637,504
FBgn0030467,CG1764,CG1764,268
FBgn0264494,CG17646,CG17646,766
FBgn0031364,CG17648,CG17648,128
FBgn0031365,CG17650,CG17650,125
FBgn0031361,CG17652,CG17652,244
FBgn0034924,CG17658,CG17658,478
FBgn0031356,CG17660,CG17660,536
FBgn0036311,CG17666,CG17666,872
FBgn0034352,CG17669,CG17669,540
FBgn0083978,CG11271,CG17672,249
FBgn0032668,CG17681,CG17681,293
FBgn0262115,CG17683,CG17683,477
FBgn0263780,CG17684,CG17684,855
FBgn0036348,CG17687,CG17687,1544
FBgn0039993,CG17691,CG17691,364
FBgn0040056,CG17698,CG17698,694
FBgn0025835,CG17707,CG17707,990
FBgn0027597,CG17712,CG17712,384
FBgn0041004,CG17715,CG17715,274
FBgn0000633,CG17716,CG17716,822
FBgn0029877,CG17717,CG17717,266
FBgn0037885,CG17721,CG17721,149
FBgn0033802,CG17724,CG17724,542
FBgn0037880,CG17726,CG17726,437
FBgn0033439,CG1773,CG1773,317
FBgn0036923,CG17732,CG17732,790
FBgn0037890,CG17734,CG17734,106
FBgn0038009,CG17738,CG17738,110
FBgn0033710,CG17739,CG17739,873
FBgn0039856,CG1774,CG1774,472
FBgn0035730,CG17744,CG17744,238
FBgn0035425,CG17746,CG17746,371
FBgn0038717,CG17751,CG17751,533
FBgn0038718,CG17752,CG17752,538
FBgn0030114,CG17754,CG17754,654
FBgn0033756,CG17760,CG17760,353
FBgn0029751,CG17764,CG17764,272
FBgn0033529,CG17765,CG17765,199
FBgn0032240,CG17768,CG17768,154
FBgn0039374,CG17770,CG17770,164
FBgn0040899,CG17776,CG17776,70
FBgn0040900,CG17777,CG17777,110
FBgn0023534,CG17778,CG17778,127
FBgn0039197,CG17780,CG17780,345
FBgn0039196,CG17781,CG17781,429
FBgn0039195,CG17782,CG17782,479
FBgn0039192,CG17784,CG17784,237
FBgn0039167,CG17786,CG17786,584
FBgn0038550,CG17801,CG17801,381
FBgn0038549,CG17802,CG17802,439
FBgn0038547,CG17803,CG17803,587
FBgn0038548,CG17806,CG17806,421
FBgn0034748,CG17807,CG17807,615
FBgn0037525,CG17816,CG17816,882
FBgn0038915,CG17819,CG17819,186
FBgn0034383,CG17821,CG17821,262
FBgn0036227,CG17826,CG17826,751
FBgn0025635,CG17829,CG17829,467
FBgn0028394,CG17834,CG17834,423
FBgn0036454,CG17839,CG17839,1656
FBgn0028480,CG17841,CG17841,429
FBgn0030061,CG1785,CG1785,478
FBgn0032124,CG17855,CG17855,292
FBgn0040005,CG17883,CG17883,378
FBgn0030063,CG1789,CG1789,237
FBgn0023537,CG17896,CG17896,520
FBgn0032597,CG17904,CG17904,311
FBgn0032086,CG17906,CG17906,275
FBgn0030163,CG1791,CG1791,334
FBgn0037431,CG17917,CG17917,211
FBgn0037433,CG17919,CG17919,202
FBgn0039860,CG1792,CG1792,372
FBgn0032603,CG17928,CG17928,441
FBgn0038415,CG17929,CG17929,491
FBgn0038416,CG17930,CG17930,502
FBgn0038421,CG17931,CG17931,60
FBgn0037500,CG17944,CG17944,200
FBgn0029647,CG17959,CG17959,148
FBgn0034624,CG17974,CG17974,259
FBgn0040778,CG17977,CG17977,92
FBgn0030006,CG17982,CG17982,301
FBgn0033199,CG17985,CG17985,271
FBgn0039498,CG17991,CG17991,294
FBgn0033072,CG17994,CG17994,504
FBgn0032595,CG17996,CG17996,118
FBgn0034552,CG17999,CG17999,545
FBgn0061356,CG18003,CG18003,366
FBgn0033566,CG18004,CG18004,297
FBgn0031171,CG1801,CG1801,1655
FBgn0033491,CG18011,CG18011,985
FBgn0037435,CG18048,CG18048,441
FBgn0030360,CG1806,CG1806,399
FBgn0028856,CG18063,CG18063,372
FBgn0034519,CG18065,CG18065,105
FBgn0034512,CG18067,CG18067,245
FBgn0036537,CG18081,CG18081,77
FBgn0032082,CG18088,CG18088,663
FBgn0032791,CG18094,CG18094,360
FBgn0028872,CG18095,CG18095,564
FBgn0034330,CG18107,CG18107,45
FBgn0028901,CG18109,CG18109,1931
FBgn0031119,CG1812,CG1812,616
FBgn0034898,CG18128,CG18128,339
FBgn0030359,CG18130,CG18130,706
FBgn0031343,CG18131,CG18131,440
FBgn0031345,CG18132,CG18132,192
FBgn0036837,CG18135,CG18135,770
FBgn0033426,CG1814,CG1814,548
FBgn0039863,CG1815,CG1815,1664
FBgn0029945,CG18155,CG18155,610
FBgn0035239,CG18170,CG18170,495
FBgn0035262,CG18171,CG18171,760
FBgn0036035,CG18178,CG18178,374
FBgn0036023,CG18179,CG18179,268
FBgn0036024,CG18180,CG18180,264
FBgn0034403,CG18190,CG18190,248
FBgn0038470,CG18213,CG18213,879
FBgn0036832,CG18223,CG18223,322
FBgn0036796,CG18231,CG18231,470
FBgn0036795,CG18233,CG18233,515
FBgn0265268,CG18234,CG18234,515
FBgn0030403,CG1824,CG1824,761
FBgn0037553,CG18249,CG18249,559
FBgn0265267,CG18258,CG18258,468
FBgn0030956,CG18259,CG18259,474
FBgn0030012,CG18262,CG18262,469
FBgn0036725,CG18265,CG18265,1322
FBgn0031724,CG18266,CG18266,486
FBgn0037520,CG18268,CG18268,358
FBgn0031719,CG18269,CG18269,200
FBgn0033431,CG1827,CG1827,393
FBgn0029525,CG18273,CG18273,1377
FBgn0033836,CG18278,CG18278,492
FBgn0037003,CG18281,CG18281,542
FBgn0043825,CG18284,CG18284,457
FBgn0036873,CG18294,CG18294,141
FBgn0032265,CG18301,CG18301,422
FBgn0032266,CG18302,CG18302,406
FBgn0031869,CG18304,CG18304,1901
FBgn0033905,CG18324,CG18324,307
FBgn0033904,CG18327,CG18327,304
FBgn0033610,CG18335,CG18335,323
FBgn0040763,CG18336,CG18336,94
FBgn0033683,CG18343,CG18343,99
FBgn0031127,CG1835,CG1835,152
FBgn0034460,CG18367,CG18367,93
FBgn0033864,CG18368,CG18368,1154
FBgn0033893,CG18371,CG18371,110
FBgn0030351,CG1840,CG1840,118
FBgn0039761,CG18404,CG18404,180
FBgn0035780,CG18417,CG18417,427
FBgn0035568,CG18418,CG18418,311
FBgn0028866,CG18420,CG18420,299
FBgn0039149,CG18428,CG18428,144
FBgn0033458,CG18446,CG18446,487
FBgn0033285,CG18449,CG18449,159
FBgn0034218,CG18467,CG18467,237
FBgn0034206,CG18469,CG18469,128
FBgn0030345,CG1847,CG1847,342
FBgn0037683,CG18473,CG18473,350
FBgn0037931,CG18476,CG18476,936
FBgn0028864,CG18477,CG18477,464
FBgn0028517,CG18478,CG18478,294
FBgn0028518,CG18480,CG18480,550
FBgn0038701,CG18493,CG18493,480
FBgn0033154,CG1850,CG1850,681
FBgn0028527,CG18507,CG18507,514
FBgn0028746,CG18508,CG18508,99
FBgn0028900,CG18518,CG18518,332
FBgn0039189,CG18528,CG18528,493
FBgn0042207,CG18530,CG18530,389
FBgn0034322,CG18536,CG18536,191
FBgn0034323,CG18537,CG18537,188
FBgn0034324,CG18538,CG18538,182
FBgn0034325,CG18539,CG18539,185
FBgn0034326,CG18540,CG18540,190
FBgn0037731,CG18542,CG18542,249
FBgn0037812,CG18545,CG18545,199
FBgn0037973,CG18547,CG18547,345
FBgn0038053,CG18549,CG18549,436
FBgn0031470,CG18557,CG18557,343
FBgn0031469,CG18558,CG18558,588
FBgn0032639,CG18563,CG18563,379
FBgn0033888,CG18568,CG18568,334
FBgn0037870,CG18577,CG18577,114
FBgn0036466,CG18581,CG18581,167
FBgn0031929,CG18585,CG18585,422
FBgn0035642,CG18586,CG18586,545
FBgn0038953,CG18596,CG18596,1136
FBgn0038589,CG18598,CG18598,89
FBgn0038592,CG18599,CG18599,475
FBgn0038601,CG18600,CG18600,384
FBgn0034411,CG18605,CG18605,415
FBgn0034382,CG18609,CG18609,263
FBgn0038460,CG18622,CG18622,94
FBgn0036091,CG18628,CG18628,63
FBgn0034279,CG18635,CG18635,649
FBgn0032551,CG18636,CG18636,349
FBgn0031426,CG18641,CG18641,369
FBgn0036469,CG18649,CG18649,92
FBgn0027561,CG18659,CG18659,908
FBgn0040964,CG18661,CG18661,222
FBgn0040963,CG18662,CG18662,146
FBgn0040967,CG18666,CG18666,127
FBgn0040696,CG18675,CG18675,291
FBgn0042213,CG18731,CG18731,119
FBgn0042098,CG18735,CG18735,364
FBgn0042101,CG18744,CG18744,410
FBgn0042102,CG18745,CG18745,433
FBgn0042103,CG18746,CG18746,438
FBgn0042104,CG18747,CG18747,418
FBgn0042105,CG18748,CG18748,409
FBgn0042182,CG18749,CG18749,491
FBgn0042106,CG18754,CG18754,341
FBgn0042205,CG18764,CG18764,409
FBgn0042110,CG18765,CG18765,393
FBgn0042111,CG18766,CG18766,308
FBgn0042125,CG18787,CG18787,398
FBgn0042126,CG18788,CG18788,540
FBgn0042127,CG18789,CG18789,398
FBgn0042131,CG18808,CG18808,385
FBgn0042132,CG18809,CG18809,362
FBgn0042133,CG18810,CG18810,300
FBgn0042135,CG18812,CG18812,540
FBgn0042137,CG18814,CG18814,267
FBgn0042138,CG18815,CG18815,232
FBgn0033226,CG1882,CG1882,454
FBgn0042146,CG18823,CG18823,106
FBgn0042173,CG18853,CG18853,330
FBgn0042175,CG18858,CG18858,421
FBgn0042180,CG18870,CG18870,335
FBgn0033421,CG1888,CG1888,372
FBgn0030164,CG1889,CG1889,338
FBgn0039869,CG1890,CG1890,110
FBgn0039585,CG1894,CG1894,421
FBgn0039870,CG1896,CG1896,246
FBgn0033434,CG1902,CG1902,312
FBgn0039674,CG1907,CG1907,317
FBgn0039911,CG1909,CG1909,606
FBgn0022349,CG1910,CG1910,489
FBgn0030377,CG1924,CG1924,570
FBgn0027547,CG1927,CG1927,213
FBgn0033214,CG1941,CG1941,352
FBgn0037468,CG1943,CG1943,118
FBgn0033216,CG1946,CG1946,349
FBgn0039623,CG1951,CG1951,835
FBgn0029940,CG1958,CG1958,231
FBgn0037466,CG1965,CG1965,905
FBgn0033401,CG1968,CG1968,630
FBgn0039881,CG1971,CG1971,263
FBgn0026563,CG1979,CG1979,1047
FBgn0039751,CG1983,CG1983,254
FBgn0030162,CG1986,CG1986,404
FBgn0037464,CG1988,CG1988,578
FBgn0030485,CG1998,CG1998,406
FBgn0029947,CG1999,CG1999,210
FBgn0039886,CG2003,CG2003,492
FBgn0030060,CG2004,CG2004,425
FBgn0039664,CG2006,CG2006,327
FBgn0039667,CG2010,CG2010,515
FBgn0250839,CG2016,CG2016,254
FBgn0037391,CG2017,CG2017,643
FBgn0035271,CG2021,CG2021,95
FBgn0037383,CG2023,CG2023,227
FBgn0015359,CG2034,CG2034,262
FBgn0037378,CG2046,CG2046,235
FBgn0039887,CG2053,CG2053,298
FBgn0029942,CG2059,CG2059,308
FBgn0027498,CG2061,CG2061,419
FBgn0033400,CG2063,CG2063,325
FBgn0033205,CG2064,CG2064,330
FBgn0033204,CG2065,CG2065,300
FBgn0033203,CG2070,CG2070,325
FBgn0030263,CG2076,CG2076,341
FBgn0027608,CG2082,CG2082,368
FBgn0037372,CG2091,CG2091,374
FBgn0037369,CG2100,CG2100,477
FBgn0037365,CG2104,CG2104,424
FBgn0030223,CG2111,CG2111,931
FBgn0035384,CG2113,CG2113,183
FBgn0030003,CG2116,CG2116,598
FBgn0030005,CG2120,CG2120,315
FBgn0033289,CG2121,CG2121,536
FBgn0030217,CG2124,CG2124,629
FBgn0039876,CG2126,CG2126,328
FBgn0033286,CG2127,CG2127,305
FBgn0030008,CG2129,CG2129,465
FBgn0030251,CG2145,CG2145,592
FBgn0030025,CG2147,CG2147,165
FBgn0003065,CG2150,CG2150,188
FBgn0030244,CG2157,CG2157,247
FBgn0035388,CG2162,CG2162,662
FBgn0037360,CG2182,CG2182,671
FBgn0030243,CG2186,CG2186,1128
FBgn0017448,CG2187,CG2187,623
FBgn0035213,CG2199,CG2199,733
FBgn0030447,CG2200,CG2200,240
FBgn0032955,CG2201,CG2201,554
FBgn0030240,CG2202,CG2202,889
FBgn0030441,CG2209,CG2209,153
FBgn0035211,CG2211,CG2211,330
FBgn0027544,CG2217,CG2217,364
FBgn0039767,CG2218,CG2218,486
FBgn0039773,CG2224,CG2224,420
FBgn0032957,CG2225,CG2225,1111
FBgn0029990,CG2233,CG2233,414
FBgn0039790,CG2246,CG2246,406
FBgn0030320,CG2247,CG2247,1048
FBgn0029995,CG2256,CG2256,324
FBgn0029997,CG2258,CG2258,801
FBgn0030000,CG2260,CG2260,609
FBgn0039792,CG2267,CG2267,390
FBgn0033484,CG2269,CG2269,783
FBgn0035204,CG2277,CG2277,534
FBgn0030017,CG2278,CG2278,655
FBgn0033279,CG2291,CG2291,111
FBgn0039665,CG2310,CG2310,251
FBgn0039890,CG2316,CG2316,730
FBgn0039663,CG2321,CG2321,643
FBgn0037455,CG2336,CG2336,322
FBgn0030326,CG2444,CG2444,114
FBgn0032864,CG2493,CG2493,475
FBgn0037336,CG2519,CG2519,1304
FBgn0032969,CG2528,CG2528,731
FBgn0030319,CG2533,CG2533,180
FBgn0030411,CG2540,CG2540,311
FBgn0030396,CG2556,CG2556,470
FBgn0030386,CG2574,CG2574,239
FBgn0030384,CG2577,CG2577,344
FBgn0032870,CG2608,CG2608,255
FBgn0032871,CG2611,CG2611,132
FBgn0032873,CG2614,CG2614,673
FBgn0037512,CG2616,CG2616,449
FBgn0032877,CG2617,CG2617,274
FBgn0037518,CG2641,CG2641,429
FBgn0000092,CG2650,CG2650,260
FBgn0025838,CG2652,CG2652,235
FBgn0037478,CG2656,CG2656,283
FBgn0024993,CG2662,CG2662,446
FBgn0037323,CG2663,CG2663,308
FBgn0014931,CG2678,CG2678,434
FBgn0024995,CG2680,CG2680,305
FBgn0024997,CG2681,CG2681,626
FBgn0024998,CG2685,CG2685,552
FBgn0030504,CG2691,CG2691,1384
FBgn0024991,CG2694,CG2694,825
FBgn0037536,CG2698,CG2698,869
FBgn0024973,CG2701,CG2701,735
FBgn0024975,CG2712,CG2712,501
FBgn0035090,CG2736,CG2736,507
FBgn0037541,CG2747,CG2747,2172
FBgn0030376,CG2750,CG2750,1882
FBgn0035087,CG2765,CG2765,243
FBgn0037537,CG2767,CG2767,329
FBgn0031533,CG2772,CG2772,416
FBgn0037534,CG2781,CG2781,329
FBgn0027599,CG2790,CG2790,540
FBgn0031265,CG2794,CG2794,700
FBgn0035082,CG2811,CG2811,157
FBgn0034931,CG2812,CG2812,348
FBgn0031564,CG2816,CG2816,84
FBgn0031566,CG2818,CG2818,707
FBgn0031273,CG2839,CG2839,826
FBgn0003159,CG2841,CG2841,1239
FBgn0014930,CG2846,CG2846,153
FBgn0034753,CG2852,CG2852,205
FBgn0040391,CG2854,CG2854,491
FBgn0029728,CG2861,CG2861,1893
FBgn0031459,CG2862,CG2862,150
FBgn0023526,CG2865,CG2865,434
FBgn0029725,CG2871,CG2871,408
FBgn0029672,CG2875,CG2875,497
FBgn0030207,CG2887,CG2887,342
FBgn0030206,CG2889,CG2889,581
FBgn0030195,CG2898,CG2898,351
FBgn0029679,CG2901,CG2901,649
FBgn0033240,CG2906,CG2906,456
FBgn0030189,CG2909,CG2909,505
FBgn0037350,CG2911,CG2911,183
FBgn0033241,CG2915,CG2915,453
FBgn0023529,CG2918,CG2918,923
FBgn0034689,CG2921,CG2921,478
FBgn0023528,CG2924,CG2924,397
FBgn0037344,CG2926,CG2926,2296
FBgn0028491,CG2930,CG2930,815
FBgn0037342,CG2931,CG2931,302
FBgn0029685,CG2938,CG2938,862
FBgn0031585,CG2955,CG2955,565
FBgn0030186,CG2962,CG2962,376
FBgn0031462,CG2964,CG2964,554
FBgn0030177,CG2972,CG2972,472
FBgn0031468,CG2975,CG2975,385
FBgn0031472,CG2983,CG2983,344
FBgn0030170,CG2990,CG2990,1100
FBgn0031474,CG2991,CG2991,562
FBgn0037521,CG2993,CG2993,545
FBgn0050001,CG30001,CG30001,386
FBgn0260474,CG30002,CG30002,311
FBgn0050008,CG30008,CG30008,266
FBgn0050010,CG30010,CG30010,167
FBgn0050015,CG30015,CG30015,1510
FBgn0050016,CG30016,CG30016,113
FBgn0050020,CG30020,CG30020,1309
FBgn0050022,CG30022,CG30022,279
FBgn0050025,CG30025,CG30025,253
FBgn0050026,CG30026,CG30026,228
FBgn0050031,CG30031,CG30031,253
FBgn0050033,CG30033,CG30033,60
FBgn0050036,CG30036,CG30036,388
FBgn0050037,CG30037,CG30037,420
FBgn0050039,CG30039,CG30039,147
FBgn0050043,CG30043,CG30043,878
FBgn0050046,CG30046,CG30046,839
FBgn0050047,CG30047,CG30047,879
FBgn0050048,CG30048,CG30048,1125
FBgn0050049,CG30049,CG30049,878
FBgn0050050,CG30050,CG30050,192
FBgn0050053,CG30053,CG30053,335
FBgn0050054,CG30054,CG30054,353
FBgn0050056,CG30056,CG30056,137
FBgn0050058,CG30058,CG30058,142
FBgn0260475,CG30059,CG30059,492
FBgn0265272,CG30060,CG30060,202
FBgn0050062,CG30062,CG30062,171
FBgn0050065,CG30065,CG30065,83
FBgn0050069,CG30069,CG30069,4012
FBgn0050075,CG30075,CG30075,195
FBgn0050076,CG30076,CG30076,440
FBgn0031643,CG3008,CG3008,603
FBgn0050080,CG30080,CG30080,116
FBgn0050082,CG30082,CG30082,280
FBgn0050083,CG30083,CG30083,279
FBgn0050087,CG30087,CG30087,277
FBgn0050088,CG30088,CG30088,281
FBgn0050089,CG30089,CG30089,1263
FBgn0029720,CG3009,CG3009,342
FBgn0050090,CG30090,CG30090,291
FBgn0050091,CG30091,CG30091,526
FBgn0050094,CG30094,CG30094,161
FBgn0050095,CG30095,CG30095,214
FBgn0050096,CG30096,CG30096,219
FBgn0050098,CG30098,CG30098,264
FBgn0050099,CG30099,CG30099,217
FBgn0050100,CG30100,CG30100,146
FBgn0050101,CG30101,CG30101,328
FBgn0050103,CG30103,CG30103,584
FBgn0050105,CG30105,CG30105,155
FBgn0050108,CG30108,CG30108,88
FBgn0050109,CG30109,CG30109,88
FBgn0050110,CG30110,CG30110,614
FBgn0050114,CG30114,CG30114,115
FBgn0028496,CG30116,CG30116,1922
FBgn0050120,CG30120,CG30120,479
FBgn0050122,CG30122,CG30122,1272
FBgn0037519,CG3014,CG3014,488
FBgn0050148,CG30148,CG30148,124
FBgn0050151,CG30151,CG30151,282
FBgn0050154,CG30154,CG30154,64
FBgn0050156,CG30156,CG30156,358
FBgn0050157,CG30157,CG30157,234
FBgn0050158,CG30158,CG30158,280
FBgn0050159,CG30159,CG30159,239
FBgn0050160,CG30160,CG30160,222
FBgn0050161,CG30161,CG30161,251
FBgn0050172,CG30172,CG30172,112
FBgn0050177,CG30177,CG30177,206
FBgn0050178,CG30178,CG30178,187
FBgn0050183,CG30183,CG30183,1555
FBgn0050184,CG30184,CG30184,223
FBgn0050187,CG30187,CG30187,500
FBgn0050192,CG30192,CG30192,70
FBgn0050195,CG30195,CG30195,153
